Month,New_Customers,Referral_Percentage,Campaign_Percentage,Partnership_Percentage,Energy_Discharged_kWh,Outage_Avoidance_Percentage,Avg_Savings_Per_Customer,Total_Savings
May,248,49.6,13.73,25.05,655,86.77,46.7,8534
May,260,25.22,26.4,29.29,869,97.84,27.04,3697
December,299,47.54,30.93,10.68,1521,87.92,41.01,5784
October,161,43.77,26.19,23.34,686,92.93,37.66,8158
December,73,46.47,22.63,23.41,1429,86.61,38.43,7797
October,27,47.8,14.48,11.83,994,97.64,26.24,3906
August,281,39.04,19.44,24.22,1290,83.47,27.58,2639
March,169,48.4,15.33,23.47,1450,85.49,35.34,4195
May,115,37.54,31.17,22.23,598,90.07,46.26,6916
February,64,20.05,14.5,14.26,1843,84.01,32.9,9191
August,177,31.57,10.86,27.52,1997,94.5,23.73,4489
September,291,34.91,18.18,16.68,1695,97.71,40.45,8691
September,278,37.38,30.18,17.15,1038,93.69,40.23,4627
July,12,44.96,23.95,28.2,1342,97.15,33.4,5428
March,193,39.92,28.24,26.58,934,88.52,30.96,9221
October,275,49.52,16.56,28.36,937,93.11,40.76,3665
October,287,24.87,15.52,12.92,1417,83.45,37.67,4498
April,245,46.46,34.55,25.8,1037,91.32,30.82,2386
June,98,47.94,29.06,10.35,1879,84.73,40.74,5331
March,128,38.02,12.19,27.45,1542,94.5,26.22,1097
November,164,28.43,13.57,20.37,926,86.75,40.01,2840
August,152,36.59,37.48,16.36,668,89.74,31.08,8488
February,30,37.53,12.95,13.98,1692,89.69,28.25,1535
June,236,39.35,33.57,27.55,1172,95.23,25.53,6859
November,76,22.0,29.84,12.94,692,81.75,20.45,7550
October,111,44.07,14.29,10.93,1471,87.67,27.47,7782
November,193,45.84,25.59,26.73,1622,94.25,26.92,2372
March,60,43.02,23.03,17.48,1953,94.67,44.89,3961
February,295,49.67,27.3,19.25,1284,86.29,49.1,9595
February,110,41.18,32.5,21.96,505,85.77,36.84,1049
September,88,32.05,18.86,29.91,1242,92.14,42.12,7997
May,124,20.47,24.65,15.84,539,92.21,49.18,7537
March,62,26.7,27.39,23.59,831,84.77,23.77,2226
February,28,41.31,28.59,25.9,1259,93.54,21.02,9645
January,146,44.05,12.94,28.69,780,82.54,39.55,3399
November,44,50.0,24.31,20.95,1734,80.83,20.17,3067
August,173,47.23,28.32,24.0,798,87.48,42.5,6311
August,147,30.35,23.02,12.52,1498,83.53,28.93,3387
January,182,40.74,28.92,27.6,778,96.57,44.79,6629
October,269,26.46,14.37,21.14,1190,85.09,40.78,6336
September,15,28.52,19.92,20.39,1907,82.36,43.62,2415
July,280,28.66,12.42,24.3,1425,86.71,41.43,3220
July,261,37.66,13.73,29.53,567,89.14,46.85,3125
September,181,42.4,22.07,19.33,1760,84.03,30.18,6787
October,226,49.2,33.17,20.6,1576,94.53,21.16,7359
March,144,31.14,18.36,29.37,714,97.09,20.93,2118
October,38,22.56,30.74,20.59,639,98.46,33.48,2905
February,148,45.45,28.83,11.23,1181,86.12,44.56,8788
April,185,35.91,22.75,17.33,880,81.22,22.68,7430
January,183,24.91,35.51,29.93,1188,86.88,46.52,5921
July,121,46.51,10.05,12.79,1289,80.66,26.31,7795
August,239,44.43,22.94,18.12,1246,85.97,28.04,9948
March,86,20.97,11.11,20.6,785,96.93,49.04,9129
May,237,30.59,26.68,14.97,1430,85.41,22.96,1468
July,99,30.33,26.26,19.77,562,83.15,28.17,8222
January,253,36.67,25.0,10.99,1509,99.65,20.32,2388
October,99,44.68,39.47,24.08,1083,88.53,28.63,6791
November,255,34.8,37.18,23.19,502,85.55,36.45,9761
January,176,45.82,26.65,10.26,1908,92.56,24.19,1446
October,40,34.88,36.46,22.75,1779,87.74,48.31,1018
April,63,36.83,34.0,27.11,1542,93.76,40.43,3000
July,71,43.46,20.41,28.19,750,80.04,36.69,7772
March,226,20.15,22.09,18.57,1587,80.13,36.38,9126
October,266,36.73,36.01,26.47,617,83.26,42.59,8449
February,133,21.89,26.31,21.02,1367,86.09,42.75,5033
January,128,42.5,27.22,15.24,1099,92.63,33.93,3917
November,110,34.71,31.01,19.75,1005,91.17,25.8,6197
July,229,48.86,15.54,20.43,993,95.46,34.03,3417
December,200,45.48,24.27,14.47,843,87.53,24.15,8362
October,78,32.3,13.63,17.18,760,83.09,49.37,2792
January,27,24.22,23.19,17.14,868,93.6,46.94,3978
April,16,26.1,35.32,27.68,1233,92.3,49.74,4078
February,213,47.18,31.35,16.64,1702,86.35,46.38,6339
July,205,28.38,12.31,13.92,578,83.71,29.38,5414
December,141,29.91,15.98,10.57,971,87.56,48.57,1505
November,240,24.08,12.29,28.07,1511,80.92,32.25,1300
December,87,39.43,16.53,22.9,1640,85.27,31.52,2174
December,100,48.78,11.24,24.09,1414,91.58,34.17,8680
February,39,36.19,19.49,16.09,612,85.03,30.7,7861
December,205,23.92,10.06,24.43,676,93.49,30.06,6654
October,125,23.78,12.3,17.92,1066,99.27,27.26,7933
June,279,31.77,22.53,11.99,770,88.5,35.36,4184
January,107,32.61,18.27,14.17,1837,84.19,36.06,7538
July,157,24.48,38.04,26.44,1162,88.06,32.99,4708
March,48,31.6,19.18,18.57,1282,88.96,21.63,4439
September,71,44.73,29.98,13.18,1742,84.43,21.46,1879
September,124,32.91,36.56,17.33,1977,85.61,20.15,1511
June,104,48.58,36.48,27.14,587,80.72,38.5,2156
July,26,41.97,15.57,20.14,1107,85.46,20.51,8224
February,38,34.0,30.03,17.7,902,96.02,33.89,9050
October,144,20.87,39.7,29.48,1227,92.15,24.63,9574
September,203,27.74,15.47,28.37,998,82.4,46.76,1257
October,261,49.49,30.22,16.22,1790,95.86,38.17,7609
March,134,41.62,26.56,10.71,1803,90.77,22.63,4348
June,43,24.9,39.08,10.14,1942,90.17,41.7,8556
March,231,28.45,38.46,26.93,743,99.84,48.93,5005
October,78,39.44,32.91,13.51,1222,87.89,27.45,1272
December,85,24.97,18.61,18.51,1309,89.11,27.29,3621
May,66,29.98,38.53,14.36,935,84.9,48.18,5892
March,182,21.71,12.22,28.47,1467,98.88,39.03,6039
July,205,22.45,24.18,10.17,1645,93.44,28.18,5146
March,120,22.31,30.45,26.38,1032,84.07,36.62,2115
August,185,45.7,20.51,18.48,1286,87.98,49.87,4998
April,90,25.24,37.41,14.01,670,97.76,26.17,9631
November,206,41.23,35.89,12.64,1398,94.38,31.83,8245
August,186,26.47,23.27,26.43,1699,82.0,35.41,1932
August,265,31.43,25.34,12.89,1328,93.53,36.48,6753
October,184,28.33,15.79,10.23,899,86.57,21.84,3845
March,180,21.83,17.83,11.04,1093,95.01,46.97,2880
June,208,23.13,18.31,20.12,1516,84.93,20.06,5962
March,234,38.94,19.66,25.18,1935,85.62,36.67,9883
July,46,25.39,24.76,19.04,1936,98.54,31.67,3099
April,109,23.95,38.88,25.48,1415,80.27,43.37,6755
March,164,36.68,28.06,18.97,721,87.14,49.81,8770
February,131,26.22,16.27,21.55,685,87.64,37.85,2345
July,124,48.6,16.66,19.53,997,97.48,35.06,4586
July,158,28.24,13.74,18.62,511,91.12,34.9,7903
April,137,43.54,36.95,11.83,663,90.02,40.1,3379
September,187,26.95,16.99,30.0,1254,82.05,36.29,2471
December,199,40.36,13.11,27.53,1562,90.74,23.49,3250
June,77,40.5,11.52,22.85,1652,95.2,38.23,3984
January,218,47.1,16.13,19.84,917,82.49,40.23,8654
September,150,47.56,31.89,15.37,1845,84.97,47.49,4753
November,157,35.84,18.6,16.91,1730,80.47,42.12,6731
December,170,21.69,21.59,22.43,1162,91.68,22.07,5555
March,133,25.66,29.26,26.41,661,91.83,27.15,3529
April,67,44.17,30.17,22.29,1211,95.82,46.54,3714
October,297,23.47,35.43,19.1,1605,94.76,31.85,5342
December,142,40.99,18.59,12.79,643,85.11,45.12,7045
April,211,33.83,21.29,22.0,862,99.78,20.81,5814
December,174,46.78,36.38,14.61,905,89.99,31.55,2832
December,99,47.83,13.9,29.0,1875,80.27,24.94,6824
December,273,22.25,13.98,20.82,1775,80.66,38.8,7292
September,171,22.34,36.24,29.97,1453,87.72,44.44,6484
January,192,24.45,39.3,14.03,972,89.93,37.07,6517
August,289,21.15,24.33,21.75,1008,99.41,47.84,8537
July,25,24.37,10.15,25.85,1054,80.05,27.4,4403
December,96,39.44,18.03,19.89,1218,89.75,48.51,3483
January,180,28.67,29.65,25.86,1973,96.67,38.18,3341
September,218,37.64,18.66,23.59,672,90.85,48.81,3335
March,225,45.88,34.27,19.39,1900,94.61,43.39,3878
March,97,20.77,15.06,25.45,932,82.4,45.2,2988
October,238,32.71,39.57,12.49,850,91.77,27.62,5039
September,34,27.94,30.08,20.77,1520,82.68,37.71,4745
January,155,36.64,31.79,26.46,1125,82.09,32.62,6277
December,231,31.67,28.81,27.2,1845,88.62,43.08,2014
March,237,36.23,21.22,11.9,1895,86.57,47.26,3686
June,148,35.09,32.92,15.39,1530,91.3,41.74,1476
January,126,42.74,31.97,24.64,946,80.11,31.0,8461
August,14,28.13,37.02,16.58,1571,94.28,29.23,8939
December,258,41.58,33.52,28.45,630,95.41,20.69,2199
November,160,37.82,16.39,26.94,899,96.99,23.25,1844
March,258,34.93,19.15,28.15,619,92.58,27.9,4754
April,114,31.77,23.39,16.43,960,87.91,36.77,9966
November,144,29.91,26.37,27.31,916,99.88,20.31,9557
July,210,39.41,39.06,29.58,1560,88.05,33.61,3972
February,250,20.57,28.56,22.51,644,98.18,42.15,6034
December,155,33.17,35.21,29.02,1829,86.73,47.91,9321
July,158,24.48,37.79,17.35,1884,94.33,46.3,7662
June,95,46.68,18.28,17.87,837,84.15,32.53,6356
March,262,35.35,17.28,20.82,691,86.96,42.89,9795
June,253,35.38,21.43,13.8,1161,97.37,25.29,7371
June,31,38.88,36.5,19.24,1745,95.87,23.12,8247
January,84,46.74,29.19,17.34,869,96.0,21.76,7209
November,66,32.85,38.06,17.11,1810,82.64,37.88,7048
October,91,34.2,20.94,21.48,625,99.94,25.35,3798
March,219,25.21,15.0,22.37,529,83.51,44.81,2734
July,98,37.24,19.64,25.4,1668,95.94,31.9,6158
July,223,47.28,31.8,20.37,997,94.64,36.52,3647
October,18,25.49,22.69,14.65,1083,96.6,22.08,2121
May,212,37.01,16.8,18.16,1913,86.27,35.78,4860
May,91,22.89,27.83,11.76,849,80.73,40.51,6642
June,253,29.27,28.88,28.68,1952,86.98,34.2,8879
February,108,43.62,37.13,18.75,773,96.83,24.4,2496
February,171,41.23,23.08,24.01,536,88.26,24.73,9717
April,294,36.65,33.71,24.39,701,88.58,49.28,5793
December,197,20.03,15.61,26.1,1912,91.02,25.67,1237
November,271,27.05,15.64,22.27,1668,99.68,31.25,4016
May,101,29.74,36.25,22.34,790,84.79,47.88,8924
November,52,36.64,16.5,13.88,554,82.91,31.92,2249
August,137,31.4,39.72,15.67,1604,98.93,41.16,9196
October,286,28.06,13.9,29.33,979,94.81,33.41,7916
June,85,41.41,31.9,16.18,1858,95.37,32.51,9955
March,128,47.17,24.83,20.35,1001,94.39,41.2,1457
January,90,25.75,14.66,27.53,1063,89.62,30.3,6994
December,184,33.85,29.82,12.79,1873,91.43,45.25,9821
June,14,37.26,32.83,27.87,1206,87.27,25.42,5962
February,83,36.95,35.05,19.91,516,94.19,39.56,2453
January,207,42.22,20.18,25.59,1855,82.32,22.75,9612
December,15,28.24,30.86,20.23,1561,90.01,32.98,8420
November,247,33.64,26.13,20.69,1230,91.19,26.59,4904
October,234,29.92,20.98,22.39,503,97.79,23.26,6472
June,18,20.63,24.53,18.27,807,99.11,22.38,5627
January,35,40.92,33.05,21.24,1122,83.49,36.67,6990
January,247,22.49,34.46,19.97,1248,96.59,27.9,1976
May,99,36.27,21.35,20.16,1480,98.55,20.43,4102
March,182,33.52,24.17,15.27,1374,81.93,20.93,8507
April,177,25.72,27.48,17.04,1035,91.64,43.97,4108
February,253,41.79,16.53,11.08,1058,87.19,38.48,1369
June,25,26.17,22.34,17.37,1782,87.47,48.46,9948
December,293,34.41,25.7,18.51,669,95.51,34.46,8344
December,63,25.74,13.72,22.87,686,98.03,32.76,1216
March,283,39.75,23.91,11.02,987,99.68,21.64,4045
May,208,48.54,32.53,24.25,1886,82.92,39.93,9162
June,189,30.15,29.48,23.26,872,97.82,44.44,3069
July,84,43.97,27.31,24.94,682,99.91,42.38,9238
August,67,37.36,17.7,14.18,1652,91.55,25.9,7993
December,293,23.39,33.19,11.87,1243,91.39,26.08,9914
June,56,37.77,10.33,27.1,907,88.48,21.64,4977
March,54,31.96,30.56,26.59,1762,97.04,32.21,2203
October,280,22.64,22.56,26.84,1229,82.61,45.57,6785
October,71,20.15,20.66,28.31,551,80.09,44.11,7936
August,198,34.77,18.11,13.1,1357,92.43,39.47,7420
January,138,40.76,21.55,22.22,1025,87.51,31.67,7782
February,115,45.28,33.77,18.74,728,96.12,22.47,6305
June,277,22.12,31.69,13.57,1326,88.29,36.3,4676
January,265,34.1,23.57,17.01,1050,91.46,35.45,7871
May,219,45.45,27.92,27.05,1601,86.45,40.75,4364
January,172,46.91,36.32,28.09,803,94.46,47.34,4655
April,37,46.11,24.15,28.07,1513,96.61,40.84,8582
July,95,24.38,38.97,19.97,1158,86.53,49.23,7593
September,157,39.8,36.84,21.33,1940,84.76,49.62,3777
December,272,33.8,34.77,23.96,1406,93.1,32.64,7407
January,178,41.7,19.52,10.92,586,93.33,33.73,5816
July,290,40.09,20.34,15.37,566,94.68,49.46,9831
February,190,40.28,15.72,24.58,669,95.55,34.33,4067
March,119,45.0,26.51,12.83,522,87.71,24.75,7154
December,130,36.04,28.84,10.01,937,90.19,42.21,5061
December,283,40.07,28.52,25.38,1702,90.61,45.31,8209
October,230,37.41,39.5,21.72,1465,85.83,31.93,8363
September,230,42.07,22.61,27.23,1594,84.39,48.27,5590
December,91,43.21,19.26,23.34,946,97.7,23.55,9000
October,23,26.17,28.64,24.44,920,82.27,25.89,7327
June,283,42.13,27.39,24.85,1342,89.32,43.08,8486
July,69,34.63,30.65,12.38,1987,81.82,49.86,4561
August,253,43.03,28.86,16.3,1012,88.12,40.66,2652
May,94,23.62,22.5,12.2,1641,95.99,34.04,6262
May,107,34.14,24.97,16.03,1139,96.19,48.34,9579
June,203,29.75,19.65,13.33,675,85.31,38.74,2196
January,284,43.74,19.66,22.15,1222,86.43,41.16,6082
November,138,29.01,18.4,25.64,1638,90.46,46.24,9420
November,75,22.32,36.03,17.41,1029,84.99,24.3,3610
August,160,40.76,28.05,20.92,721,86.41,41.88,9867
September,146,27.02,14.13,21.6,923,84.74,32.14,5499
June,118,39.6,38.46,28.57,1029,82.53,42.31,2618
January,223,45.91,38.54,12.62,550,92.95,36.83,3462
March,84,47.34,26.48,10.43,645,96.16,37.59,7880
November,89,24.61,20.56,18.49,1576,84.22,38.5,7829
April,286,22.93,33.19,12.39,1074,94.52,22.31,7168
March,275,26.28,34.56,29.42,1877,90.0,45.35,6551
October,210,30.31,36.65,25.93,715,86.24,36.45,8079
June,250,28.44,39.45,20.47,1205,97.58,41.7,8454
January,183,35.74,32.44,29.37,833,85.72,48.44,8676
February,269,36.44,36.55,28.98,1440,88.53,26.26,4933
January,11,42.16,37.6,22.8,1282,81.5,40.11,3239
February,14,44.39,30.63,13.29,1052,85.19,36.5,5815
September,192,31.8,29.03,22.75,1403,83.6,49.41,4417
November,70,35.2,35.3,24.74,851,99.95,27.23,6179
May,233,27.11,28.09,25.86,1421,95.02,34.02,4150
January,182,36.45,10.76,25.75,1784,89.06,39.42,7748
August,161,24.61,21.58,22.03,615,87.13,32.13,9398
March,130,47.86,11.67,19.44,1780,83.57,23.03,2995
May,51,38.18,15.52,19.3,1758,80.8,49.51,9154
February,48,46.67,12.49,17.77,781,92.58,36.83,6793
December,112,30.92,26.91,14.99,1094,83.34,32.96,5448
July,20,28.39,26.46,19.22,1010,91.86,29.71,4272
March,271,42.4,17.05,26.18,1726,82.47,22.71,2705
January,249,34.4,38.45,13.53,800,80.53,29.73,3148
August,116,41.61,17.26,18.67,1525,90.37,27.29,3986
July,277,39.76,29.51,10.51,1560,99.22,20.26,3730
December,28,26.8,18.82,25.6,594,84.95,43.23,7964
October,85,40.9,19.91,20.65,1331,93.42,28.97,7024
March,211,30.82,17.58,11.48,1009,93.21,24.13,3485
June,77,20.98,14.44,19.98,1262,93.99,39.44,6805
July,103,22.25,16.85,14.09,1176,88.41,45.7,7968
April,68,48.21,39.99,12.4,767,88.25,26.23,7433
May,31,31.88,10.79,22.54,1682,84.94,48.58,2292
March,131,22.1,34.9,17.29,1784,84.9,27.69,9206
March,141,43.78,15.03,19.28,928,88.62,34.31,6862
November,23,22.77,14.6,18.43,569,86.19,46.72,3772
October,205,28.63,38.87,27.38,991,95.22,37.92,1185
May,84,26.44,21.29,11.25,558,85.72,27.24,2419
July,269,20.04,18.63,11.68,1951,85.23,27.62,8833
September,115,24.36,15.56,18.47,1649,97.1,39.24,9099
June,276,29.93,15.74,18.91,1740,89.08,29.09,6675
November,80,20.0,21.47,21.68,1952,98.42,23.59,7736
October,229,23.23,37.85,15.57,772,89.25,28.52,3568
April,107,25.14,30.0,23.68,1154,82.82,24.45,3474
April,85,46.03,38.16,28.2,1290,85.89,42.0,1706
October,259,35.26,24.89,28.56,1940,96.3,22.97,8529
November,122,30.11,10.59,21.77,1024,84.59,26.19,4827
April,137,20.1,32.02,21.22,629,95.15,45.24,8613
September,70,43.82,24.81,26.47,617,98.83,20.1,9481
November,228,22.02,20.17,24.16,977,99.38,36.4,2402
April,239,43.5,26.46,15.67,891,86.37,31.71,1215
April,83,27.93,14.85,12.61,1798,94.59,30.18,9892
August,282,37.78,16.43,23.3,1820,93.11,28.91,1378
January,263,36.02,12.5,22.04,966,95.03,25.9,3628
August,242,43.08,11.58,27.16,536,88.15,41.88,7219
March,74,43.3,20.63,25.36,755,83.43,30.13,7486
July,156,21.4,25.84,26.5,788,81.37,42.02,9662
October,216,27.4,19.99,27.33,1803,83.96,28.93,1307
June,278,35.66,38.68,11.92,1899,86.99,25.17,3839
July,72,30.72,20.09,15.69,1655,96.13,26.52,8782
March,281,44.76,27.99,12.3,1858,86.79,40.53,1438
November,214,23.09,20.44,20.6,1995,91.29,20.05,8804
November,159,45.53,39.2,18.38,1932,80.94,35.81,8449
March,199,42.89,33.11,23.53,1176,88.37,38.02,6602
August,227,44.1,17.72,18.45,1240,94.84,38.13,1401
July,16,47.42,37.17,14.22,745,88.7,48.59,6436
December,198,44.52,22.12,10.66,523,80.88,49.82,6204
February,228,36.47,37.19,17.34,1823,92.94,21.13,6483
July,182,35.45,25.63,13.08,950,80.56,44.38,8815
May,224,49.61,23.94,13.96,680,98.68,42.38,1325
April,198,46.35,39.52,13.63,828,99.81,25.97,1051
March,14,36.31,34.88,22.95,1583,85.78,36.64,4086
March,74,27.35,25.86,21.54,1609,82.48,41.04,7426
September,96,28.96,22.97,29.98,678,81.33,40.21,9010
April,143,33.51,21.79,11.92,565,96.35,37.03,9874
April,136,31.28,29.4,17.41,565,83.27,25.04,7149
March,61,44.34,17.36,11.31,1596,80.38,37.75,7998
August,80,20.25,34.01,28.3,879,81.03,30.05,7255
August,211,26.54,21.38,23.58,999,96.22,33.85,4908
November,233,27.2,12.75,24.35,1754,94.26,29.65,4512
April,153,32.23,34.86,26.93,688,80.14,46.28,1499
September,130,34.64,16.16,17.46,1531,92.49,42.06,9204
February,223,25.88,21.13,28.72,1971,94.23,34.99,2036
October,242,28.06,22.95,16.31,1487,90.54,25.75,5981
December,170,21.93,20.25,13.45,1827,83.16,44.44,5195
December,58,24.96,36.92,29.42,699,85.02,37.92,4689
March,134,39.0,38.56,27.86,649,86.52,37.78,9485
September,58,27.27,24.67,22.56,1194,86.15,25.41,4719
May,120,30.58,14.96,22.13,802,85.87,25.95,5697
January,208,34.0,35.13,17.37,1233,93.4,38.36,9745
October,175,35.37,37.66,25.69,1599,98.29,36.91,9690
April,26,40.27,27.2,28.98,1033,94.85,32.85,3585
March,203,26.29,14.21,22.38,1493,82.88,44.35,3280
January,207,35.89,15.47,14.79,1627,91.15,25.53,2412
February,225,40.39,10.42,18.33,594,87.77,24.82,7994
November,291,41.08,22.65,15.9,1946,99.82,32.86,5798
May,239,28.05,11.67,21.85,1329,87.99,43.82,9932
May,165,26.56,34.04,15.34,874,96.61,39.08,7897
February,163,35.59,35.35,23.12,933,93.69,32.71,7852
August,55,40.66,26.65,22.97,1570,96.9,35.62,2315
May,114,22.75,22.09,17.44,1963,84.88,43.55,3487
August,228,23.78,16.55,14.43,673,80.06,25.12,4403
January,167,40.48,15.64,11.81,645,92.05,22.99,3952
May,276,21.48,18.1,11.71,594,93.09,25.35,3418
February,207,48.18,30.67,14.63,1394,91.16,46.66,5933
February,285,38.57,23.71,15.88,1551,92.49,22.64,3574
March,271,35.3,23.85,27.56,1252,82.4,43.03,1767
February,59,25.94,24.94,24.39,1750,82.85,40.32,2579
June,274,25.36,15.35,25.14,1801,85.24,40.1,1266
October,199,23.53,20.48,22.85,1328,99.48,21.91,3551
February,91,32.03,12.86,10.41,1315,87.92,30.96,4153
July,20,27.78,35.35,16.03,1263,93.4,47.89,2253
March,208,23.44,19.99,27.37,570,88.66,43.17,5018
December,138,42.85,32.62,25.29,1222,94.17,47.3,8114
August,40,49.89,28.29,22.05,1226,98.74,49.86,1049
February,81,21.69,36.06,24.05,1601,89.46,23.38,4304
April,172,39.87,25.64,18.09,1829,93.89,38.43,5265
April,29,46.11,22.86,28.72,1617,85.09,39.51,3586
April,208,22.19,10.89,29.14,609,93.88,49.21,5738
October,63,45.13,21.98,20.45,1435,85.29,21.87,3132
July,192,22.94,30.89,19.15,954,88.38,49.64,1513
May,46,36.65,37.33,20.09,712,99.32,43.19,4366
October,160,31.03,35.84,29.41,772,82.41,32.02,8229
February,125,43.2,25.24,13.93,1556,94.91,27.79,6281
August,163,25.45,23.06,28.05,871,99.5,26.38,3649
May,263,39.54,26.56,17.18,698,98.34,20.16,9655
July,230,35.66,26.45,22.23,802,93.49,29.36,3168
October,205,45.69,22.62,17.96,877,85.2,39.18,5431
July,67,34.17,27.66,16.55,1112,90.81,24.66,1778
July,44,31.53,32.5,15.54,691,98.16,49.41,4506
November,238,36.06,31.43,11.66,730,93.7,35.49,5863
June,179,40.59,19.29,10.65,1875,92.97,45.69,9890
January,170,36.27,32.15,17.42,1236,82.17,21.22,5592
February,149,40.55,13.4,10.47,1410,86.95,40.32,1089
August,172,33.27,39.21,11.99,1760,83.49,26.86,2281
July,44,45.61,13.59,19.9,792,87.43,45.79,3028
December,237,22.82,17.31,23.43,1446,92.67,31.74,7534
October,283,20.11,19.35,26.67,1424,91.95,37.94,1769
June,209,22.13,31.11,11.36,1628,88.91,35.15,7255
December,296,37.09,16.25,18.8,1246,91.79,28.87,2677
February,196,27.43,29.23,21.63,1281,91.31,33.9,6396
February,159,26.24,34.29,13.59,872,86.49,23.34,7197
November,296,34.9,21.65,25.66,1651,80.75,27.34,1085
June,295,47.97,36.37,18.6,1288,99.68,38.02,2625
August,293,42.07,24.03,29.47,1573,93.66,32.04,9887
September,197,23.95,35.83,18.84,1054,93.28,22.23,7754
February,181,26.77,13.3,22.24,1153,80.54,22.49,3818
May,183,26.06,10.45,12.33,1015,84.31,42.57,6954
May,146,33.94,26.43,22.2,1870,94.63,37.47,4841
January,207,43.52,16.5,12.87,705,95.82,44.98,5072
July,156,39.85,26.43,28.28,1360,90.85,46.88,8613
September,109,31.23,10.59,21.51,1067,81.61,38.72,5531
February,184,37.44,17.0,26.68,1439,84.31,30.05,2900
February,123,25.88,20.65,23.37,502,92.13,46.33,3842
December,222,32.61,21.42,24.11,1102,81.23,34.79,4343
December,112,28.69,36.5,28.36,664,80.15,29.47,4794
November,86,47.06,19.76,27.22,1269,96.93,35.39,8564
January,276,47.37,10.6,28.6,1975,93.73,21.39,8383
October,235,33.04,14.72,22.66,1757,92.57,36.5,3610
June,243,36.67,20.9,20.29,1920,88.87,41.33,4424
February,136,23.31,22.68,29.46,1771,93.78,32.35,3936
September,184,28.2,14.13,13.96,1019,83.83,22.53,4741
January,84,43.13,39.57,18.99,892,86.39,35.79,9199
August,240,43.19,20.64,28.3,1449,83.93,43.76,8803
August,244,26.09,38.99,11.19,1416,99.29,48.53,9235
May,247,47.16,37.25,28.5,1636,93.51,29.47,9442
November,138,21.88,35.48,15.94,564,86.52,20.52,6751
April,236,45.2,23.75,11.78,860,82.59,42.56,1602
August,118,26.05,16.11,23.27,910,96.07,42.56,9084
December,200,36.38,33.14,10.73,1781,90.7,44.69,1436
January,245,22.06,10.61,12.36,1431,94.66,49.6,2486
October,92,44.45,36.01,14.28,885,92.02,31.13,8711
February,149,36.06,21.43,26.03,1557,93.94,38.64,2475
June,152,28.18,17.77,17.99,668,83.96,48.61,8521
April,223,46.9,11.16,12.67,1127,82.45,37.12,7269
July,130,26.61,33.18,23.77,1568,97.1,49.23,3077
November,185,37.06,24.7,21.19,1963,97.34,49.98,7589
